iter,kind,loss
1,val,2.824
10,train,2.725
20,train,2.663
30,train,2.675
40,train,2.651
50,val,2.423
50,train,2.66
60,train,2.579
70,train,2.626
80,train,2.656
90,train,2.528
100,val,2.448
100,train,2.619
110,train,2.44
120,train,2.668
130,train,2.683
140,train,2.553
150,val,2.474
150,train,2.379
160,train,2.311
170,train,2.536
180,train,2.56
190,train,2.625
200,val,2.403
200,train,2.444
210,train,2.495
220,train,2.5
230,train,2.43
240,train,2.529
250,val,2.441
250,train,2.354
260,train,2.682
270,train,2.404
280,train,2.473
290,train,2.533
300,val,2.449
300,train,2.54
310,train,2.479
320,train,2.374
330,train,2.318
340,train,2.287
350,val,2.396
350,train,2.458
360,train,2.467
370,train,2.476
380,train,2.543
390,train,2.395
400,val,2.45
400,train,2.298
410,train,2.396
420,train,2.507
430,train,2.439
440,train,2.451
450,val,2.412
450,train,2.582
460,train,2.348
470,train,2.44
480,train,2.424
490,train,2.498
500,val,2.391
500,train,2.481
510,train,2.423
520,train,2.488
530,train,2.338
540,train,2.341
550,val,2.461
550,train,2.534
560,train,2.492
570,train,2.321
580,train,2.333
590,train,2.62
600,val,2.461
600,train,2.466
610,train,2.224
620,train,2.446
630,train,2.475
640,train,2.452
650,val,2.333
650,train,2.545
660,train,2.406
670,train,2.505
680,train,2.365
690,train,2.58
700,val,2.359
700,train,2.546
710,train,2.359
720,train,2.667
730,train,2.532
740,train,2.448
750,val,2.381
750,train,2.562
760,train,2.422
770,train,2.359
780,train,2.409
790,train,2.424
800,val,2.384
800,train,2.408
810,train,2.389
820,train,2.294
830,train,2.575
840,train,2.319
850,val,2.334
850,train,2.46
860,train,2.55
870,train,2.579
880,train,2.456
890,train,2.369
900,val,2.375
900,train,2.531
910,train,2.293
920,train,2.5
930,train,2.378
940,train,2.342
950,val,2.379
950,train,2.27
960,train,2.58
970,train,2.536
980,train,2.425
990,train,2.529
1000,val,2.493
1000,train,2.559
1010,train,2.473
1020,train,2.496
1030,train,2.254
1040,train,2.35
1050,val,2.32
1050,train,2.493
1060,train,2.419
1070,train,2.505
1080,train,2.318
1090,train,2.506
1100,val,2.364
1100,train,2.483
1110,train,2.436
1120,train,2.472
1130,train,2.328
1140,train,2.429
1150,val,2.48
1150,train,2.373
1160,train,2.485
1170,train,2.417
1180,train,2.475
1190,train,2.463
1200,val,2.382
1200,train,2.568
1210,train,2.663
1220,train,2.371
1230,train,2.404
1240,train,2.273
1250,val,2.33
1250,train,2.469
1260,train,2.458
1270,train,2.475
1280,train,2.531
1290,train,2.425
1300,val,2.343
1300,train,2.546
1310,train,2.344
1320,train,2.396
1330,train,2.392
1340,train,2.419
1350,val,2.391
1350,train,2.374
1360,train,2.534
1370,train,2.56
1380,train,2.31
1390,train,2.515
1400,val,2.347
1400,train,2.434
1410,train,2.43
1420,train,2.383
1430,train,2.448
1440,train,2.619
1450,val,2.409
1450,train,2.357
1460,train,2.335
1470,train,2.232
1480,train,2.365
1490,train,2.584
1500,val,2.346
1500,train,2.438
1510,train,2.461
1520,train,2.43
1530,train,2.373
1540,train,2.31
1550,val,2.342
1550,train,2.457
1560,train,2.513
1570,train,2.563
1580,train,2.458
1590,train,2.45
1600,val,2.369
1600,train,2.481
1610,train,2.366
1620,train,2.577
1630,train,2.483
1640,train,2.592
1650,val,2.387
1650,train,2.281
1660,train,2.464
1670,train,2.45
1680,train,2.36
1690,train,2.499
1700,val,2.331
1700,train,2.473
1710,train,2.376
1720,train,2.539
1730,train,2.434
1740,train,2.257
1750,val,2.301
1750,train,2.529
1760,train,2.223
1770,train,2.462
1780,train,2.564
1790,train,2.605
1800,val,2.391
1800,train,2.436
1810,train,2.064
1820,train,2.255
1830,train,2.618
1840,train,2.403
1850,val,2.398
1850,train,2.402
1860,train,2.429
1870,train,2.531
1880,train,2.401
1890,train,2.477
1900,val,2.354
1900,train,2.252
1910,train,2.368
1920,train,2.418
1930,train,2.541
1940,train,2.482
1950,val,2.202
1950,train,2.343
1960,train,2.473
1970,train,2.364
1980,train,2.598
1990,train,2.375
2000,val,2.319
2000,train,2.432
2010,train,2.44
2020,train,2.478
2030,train,2.338
2040,train,2.464
2050,val,2.404
2050,train,2.384
2060,train,2.25
2070,train,2.422
2080,train,2.446
2090,train,2.439
2100,val,2.328
2100,train,2.387
2110,train,2.33
2120,train,2.466
2130,train,2.422
2140,train,2.497
2150,val,2.315
2150,train,2.292
2160,train,2.514
2170,train,2.437
2180,train,2.342
2190,train,2.337
2200,val,2.326
2200,train,2.343
2210,train,2.398
2220,train,2.369
2230,train,2.403
2240,train,2.479
2250,val,2.241
2250,train,2.511
2260,train,2.497
2270,train,2.437
2280,train,2.478
2290,train,2.528
2300,val,2.365
2300,train,2.461
2310,train,2.428
2320,train,2.509
2330,train,2.431
2340,train,2.294
2350,val,2.323
2350,train,2.319
2360,train,2.419
2370,train,2.526
2380,train,2.486
2390,train,2.436
2400,val,2.37
2400,train,2.682
2410,train,2.398
2420,train,2.451
2430,train,2.478
2440,train,2.339
2450,val,2.352
2450,train,2.542
2460,train,2.323
2470,train,2.328
2480,train,2.436
2490,train,2.678
2500,val,2.287
2500,train,2.473
