step,epoch,loss,grad_norm,learning_rate
10,0.08,1.2627254486083985,0.5152201056480408,4.736842105263158e-06
20,0.16,1.2408584594726562,0.5389558672904968,1e-05
30,0.24,1.2315449714660645,0.5459035634994507,1.5263157894736846e-05
40,0.32,1.230961513519287,0.608278214931488,1.99406528189911e-05
50,0.4,1.2629895210266113,0.6434773206710815,1.9347181008902077e-05
60,0.48,1.1387961387634278,0.6353998184204102,1.8753709198813057e-05
70,0.56,1.213388729095459,0.712790310382843,1.8160237388724037e-05
80,0.64,1.1621919631958009,0.6593871116638184,1.7566765578635017e-05
90,0.72,1.180562686920166,0.6335446834564209,1.6973293768545997e-05
100,0.8,1.1738394737243651,0.6838418841362,1.6379821958456973e-05
110,0.88,1.1145164489746093,0.7380520105361938,1.5786350148367956e-05
120,0.96,1.1136411666870116,0.7296943664550781,1.5192878338278933e-05
130,1.04,1.1110090255737304,0.7103427648544312,1.4599406528189913e-05
140,1.12,1.0969645500183105,0.6471988558769226,1.4005934718100891e-05
150,1.2,1.0487980842590332,0.6699848175048828,1.3412462908011869e-05
160,1.28,1.0949395179748536,0.7523406147956848,1.281899109792285e-05
170,1.3599999999999999,1.0995128631591797,0.8251847624778748,1.2225519287833829e-05
180,1.44,1.058957290649414,0.7925127148628235,1.1632047477744807e-05
190,1.52,1.0501172065734863,0.7241857647895813,1.1038575667655787e-05
200,1.6,1.0282355308532716,0.8349420428276062,1.0445103857566767e-05
210,1.6800000000000002,1.018863582611084,0.7677590847015381,9.851632047477747e-06
220,1.76,1.0777921676635742,1.0459635257720947,9.258160237388725e-06
230,1.8399999999999999,1.0949752807617188,0.8826159238815308,8.664688427299705e-06
240,1.92,1.0565232276916503,0.8227308392524719,8.071216617210683e-06
250,2.0,1.0137407302856445,0.7860887050628662,7.477744807121662e-06
260,2.08,1.046328067779541,0.7610357999801636,6.884272997032642e-06
270,2.16,1.031122875213623,0.9141752123832703,6.29080118694362e-06
280,2.24,1.0286443710327149,0.772544801235199,5.6973293768546e-06
290,2.32,0.9832821846008301,0.9281064867973328,5.103857566765579e-06
300,2.4,1.0047452926635743,0.7063360214233398,4.510385756676558e-06
310,2.48,1.0178873062133789,0.7612284421920776,3.916913946587537e-06
320,2.56,0.996373176574707,0.7944046258926392,3.3234421364985163e-06
330,2.64,1.033864688873291,0.8458686470985413,2.729970326409496e-06
340,2.7199999999999998,1.0200132369995116,0.8961675763130188,2.136498516320475e-06
350,2.8,1.037550163269043,0.8984892964363098,1.543026706231454e-06
360,2.88,1.0558887481689454,0.9207723736763,9.495548961424333e-07
370,2.96,0.9876835823059082,0.7911865711212158,3.560830860534125e-07
375,3.0,,,
