step,epoch,loss,grad_norm,learning_rate
10,0.08,1.9869771957397462,0.6792578101158142,4.736842105263158e-06
20,0.16,1.8896780014038086,0.7204381227493286,1e-05
30,0.24,1.9494693756103516,0.6878592371940613,1.5263157894736846e-05
40,0.32,1.8803346633911133,0.6536175012588501,1.99406528189911e-05
50,0.4,1.83154239654541,0.6349592804908752,1.9347181008902077e-05
60,0.48,1.7798328399658203,0.6926501989364624,1.8753709198813057e-05
70,0.56,1.727403450012207,0.7133731245994568,1.8160237388724037e-05
80,0.64,1.931583786010742,0.8776405453681946,1.7566765578635017e-05
90,0.72,1.7063796997070313,0.9361087679862976,1.6973293768545997e-05
100,0.8,1.6255367279052735,0.7636368870735168,1.6379821958456973e-05
110,0.88,1.6643884658813477,0.7305654287338257,1.5786350148367956e-05
120,0.96,1.5677067756652832,0.9256155490875244,1.5192878338278933e-05
130,1.04,1.658205795288086,0.7512821555137634,1.4599406528189913e-05
140,1.12,1.6580141067504883,0.788107693195343,1.4005934718100891e-05
150,1.2,1.591287612915039,0.7166709899902344,1.3412462908011869e-05
160,1.28,1.6024980545043945,0.7861196398735046,1.281899109792285e-05
170,1.3599999999999999,1.502882480621338,0.8956713080406189,1.2225519287833829e-05
180,1.44,1.5458980560302735,0.643389105796814,1.1632047477744807e-05
190,1.52,1.6205442428588868,0.882457971572876,1.1038575667655787e-05
200,1.6,1.526381778717041,0.7448866367340088,1.0445103857566767e-05
210,1.6800000000000002,1.4413161277770996,1.0251317024230957,9.851632047477747e-06
220,1.76,1.527656364440918,0.9048775434494019,9.258160237388725e-06
230,1.8399999999999999,1.499852180480957,0.7878518104553223,8.664688427299705e-06
240,1.92,1.546257495880127,0.8758389949798584,8.071216617210683e-06
250,2.0,1.5116174697875977,0.9800633788108826,7.477744807121662e-06
260,2.08,1.478493595123291,0.8242778182029724,6.884272997032642e-06
270,2.16,1.4076136589050292,0.9969328045845032,6.29080118694362e-06
280,2.24,1.509080410003662,0.7795701026916504,5.6973293768546e-06
290,2.32,1.3753395080566406,1.0017774105072021,5.103857566765579e-06
300,2.4,1.43623046875,1.192215085029602,4.510385756676558e-06
310,2.48,1.4936371803283692,0.7644466161727905,3.916913946587537e-06
320,2.56,1.5705556869506836,0.9450730681419373,3.3234421364985163e-06
330,2.64,1.5510405540466308,0.672196090221405,2.729970326409496e-06
340,2.7199999999999998,1.631187629699707,0.8604912757873535,2.136498516320475e-06
350,2.8,1.5875439643859863,0.8413150310516357,1.543026706231454e-06
360,2.88,1.5881217956542968,0.7325068712234497,9.495548961424333e-07
370,2.96,1.519611930847168,0.9756443500518799,3.560830860534125e-07
375,3.0,,,
