step,epoch,loss,ce,kl,grad_norm,learning_rate
10,0.08,2.1779,1.6218,0.1094,8.344792366027832,4.736842105263158e-06
20,0.16,2.0865,1.5815,0.1037,7.442006587982178,1e-05
30,0.24,1.9744,1.5609,0.0955,6.5484747886657715,1.5263157894736846e-05
40,0.32,1.7736,1.4382,0.0844,6.421088695526123,1.99406528189911e-05
50,0.4,1.6303,1.3548,0.0762,5.936911582946777,1.9347181008902077e-05
60,0.48,1.5326,1.2628,0.0721,4.072580814361572,1.8753709198813057e-05
70,0.56,1.4764,1.1777,0.071,3.9604506492614746,1.8160237388724037e-05
80,0.64,1.4342,1.1539,0.0686,3.696255683898926,1.7566765578635017e-05
90,0.72,1.4138,1.1882,0.0656,3.926110029220581,1.6973293768545997e-05
100,0.8,1.4178,1.1906,0.0658,4.262427806854248,1.6379821958456973e-05
110,0.88,1.3969,1.1264,0.0667,4.568556308746338,1.5786350148367956e-05
120,0.96,1.4154,1.1856,0.0658,3.876411199569702,1.5192878338278933e-05
130,1.04,1.347,1.1013,0.0637,3.8464603424072266,1.4599406528189913e-05
140,1.12,1.3784,1.1582,0.0639,4.100166320800781,1.4005934718100891e-05
150,1.2,1.3596,1.1116,0.0643,4.390717506408691,1.3412462908011869e-05
160,1.28,1.3177,1.1302,0.0602,4.016568183898926,1.281899109792285e-05
170,1.3599999999999999,1.3428,1.1207,0.0626,4.580236911773682,1.2225519287833829e-05
180,1.44,1.3256,1.111,0.0616,4.251251697540283,1.1632047477744807e-05
190,1.52,1.3257,1.0898,0.0625,4.236323833465576,1.1038575667655787e-05
200,1.6,1.3271,1.1117,0.0617,4.846385478973389,1.0445103857566767e-05
210,1.6800000000000002,1.3238,1.1006,0.0619,3.8808786869049072,9.851632047477747e-06
220,1.76,1.2942,1.0886,0.06,4.356895446777344,9.258160237388725e-06
230,1.8399999999999999,1.321,1.1366,0.0602,4.740967273712158,8.664688427299705e-06
240,1.92,1.3064,1.1158,0.0599,4.170383453369141,8.071216617210683e-06
250,2.0,1.2975,1.0578,0.0615,4.267594337463379,7.477744807121662e-06
260,2.08,1.2791,1.094,0.0586,3.867253303527832,6.884272997032642e-06
270,2.16,1.2821,1.0759,0.0595,4.292603492736816,6.29080118694362e-06
280,2.24,1.2821,1.0877,0.0591,4.458805084228516,5.6973293768546e-06
290,2.32,1.2721,1.0917,0.0581,4.549368381500244,5.103857566765579e-06
300,2.4,1.2795,1.0745,0.0594,4.5544657707214355,4.510385756676558e-06
310,2.48,1.2868,1.0545,0.0608,4.505672931671143,3.916913946587537e-06
320,2.56,1.2687,1.0642,0.0589,4.681572437286377,3.3234421364985163e-06
330,2.64,1.2789,1.0495,0.0603,4.190440654754639,2.729970326409496e-06
340,2.7199999999999998,1.2608,1.0686,0.0581,4.6322102546691895,2.136498516320475e-06
350,2.8,1.2697,1.0625,0.0591,4.323744297027588,1.543026706231454e-06
360,2.88,1.2611,1.0693,0.0581,4.476149082183838,9.495548961424333e-07
370,2.96,1.2924,1.0777,0.0603,4.668486595153809,3.560830860534125e-07
375,3.0,1.2352,1.0423,0.0571,,
