step,epoch,loss,grad_norm,learning_rate
10,0.08,1.285039520263672,0.5074750185012817,4.736842105263158e-06
20,0.16,1.3034401893615724,0.4908221662044525,1e-05
30,0.24,1.2765231132507324,0.5132180452346802,1.5263157894736846e-05
40,0.32,1.2360438346862792,0.5683932304382324,1.99406528189911e-05
50,0.4,1.305920696258545,0.6239483952522278,1.9347181008902077e-05
60,0.48,1.212115478515625,0.6108778119087219,1.8753709198813057e-05
70,0.56,1.232795524597168,0.6812302470207214,1.8160237388724037e-05
80,0.64,1.1951612472534179,0.625868022441864,1.7566765578635017e-05
90,0.72,1.1841586112976075,0.641246497631073,1.6973293768545997e-05
100,0.8,1.2276392936706544,0.7109235525131226,1.6379821958456973e-05
110,0.88,1.1601018905639648,0.6585114598274231,1.5786350148367956e-05
120,0.96,1.1651710510253905,0.7012100219726562,1.5192878338278933e-05
130,1.04,1.1645028114318847,0.7337852120399475,1.4599406528189913e-05
140,1.12,1.1465041160583496,0.6173630356788635,1.4005934718100891e-05
150,1.2,1.094282054901123,0.677821159362793,1.3412462908011869e-05
160,1.28,1.1107558250427245,0.7180306315422058,1.281899109792285e-05
170,1.3599999999999999,1.1435368537902832,0.8033952713012695,1.2225519287833829e-05
180,1.44,1.137040615081787,0.75881427526474,1.1632047477744807e-05
190,1.52,1.0992166519165039,0.7080750465393066,1.1038575667655787e-05
200,1.6,1.0583738327026366,0.8950769305229187,1.0445103857566767e-05
210,1.6800000000000002,1.0560799598693849,0.7344803214073181,9.851632047477747e-06
220,1.76,1.1037946701049806,1.0252494812011719,9.258160237388725e-06
230,1.8399999999999999,1.108311939239502,0.8314670324325562,8.664688427299705e-06
240,1.92,1.117337703704834,0.817487895488739,8.071216617210683e-06
250,2.0,1.052332592010498,0.7877515554428101,7.477744807121662e-06
260,2.08,1.0519824981689454,0.7425857186317444,6.884272997032642e-06
270,2.16,1.0406301498413086,0.8834956288337708,6.29080118694362e-06
280,2.24,1.1211234092712403,0.7965309023857117,5.6973293768546e-06
290,2.32,1.0272648811340332,0.9136271476745605,5.103857566765579e-06
300,2.4,1.0332298278808594,0.7556873559951782,4.510385756676558e-06
310,2.48,1.066702175140381,0.7644018530845642,3.916913946587537e-06
320,2.56,1.0574949264526368,0.8540191054344177,3.3234421364985163e-06
330,2.64,1.0273369789123534,0.8840858340263367,2.729970326409496e-06
340,2.7199999999999998,1.0235099792480469,0.8880465030670166,2.136498516320475e-06
350,2.8,1.087122344970703,0.8903233408927917,1.543026706231454e-06
360,2.88,1.090613842010498,0.8749231696128845,9.495548961424333e-07
370,2.96,1.05682373046875,0.8101294636726379,3.560830860534125e-07
375,3.0,,,
