iter,kind,loss
1,val,1.612
10,train,1.288
20,train,0.549
30,train,0.4
40,train,0.292
50,val,0.369
50,train,0.28
60,train,0.243
70,train,0.208
80,train,0.193
90,train,0.191
100,val,0.428
100,train,0.151
110,train,0.135
120,train,0.133
130,train,0.101
140,train,0.08
150,val,0.57
150,train,0.061
160,train,0.038
170,train,0.029
180,train,0.029
190,train,0.019
200,val,0.657
200,train,0.012
