iter,kind,loss
1,val,3.062
10,train,3.303
20,train,3.733
30,train,3.788
40,train,3.601
50,val,3.583
50,train,3.484
60,train,3.524
70,train,3.418
80,train,3.497
90,train,3.303
100,val,3.373
100,train,3.412
110,train,3.416
120,train,3.5
130,train,3.316
140,train,3.294
150,val,3.272
150,train,3.034
160,train,3.269
170,train,3.299
180,train,3.235
190,train,3.094
200,val,3.149
200,train,3.181
