step,epoch,loss,reward,reward_std,kl,clip_ratio,learning_rate
5,0.000625,2.9802322387695314e-09,0.3,0.3154700517654419,,,2.666666666666667e-07
10,0.00125,5.960464477539063e-09,0.35,0.3,,,6.000000000000001e-07
15,0.001875,0.0,0.1,0.2,,,9.333333333333334e-07
20,0.0025,-2.9802322387695314e-09,0.8,0.2,,,1.2666666666666669e-06
25,0.003125,2.9802322387695314e-09,0.65,0.4154700517654419,,,1.6000000000000001e-06
30,0.00375,5.960464477539063e-09,0.55,0.5309401035308838,,,1.9333333333333336e-06
35,0.004375,0.0,0.35,0.2154700517654419,,,2.266666666666667e-06
40,0.005,0.0,0.2,0.2,,,2.6e-06
45,0.005625,-1.4901161193847657e-09,0.25,0.1,,,2.9333333333333338e-06
50,0.00625,0.0,0.45,0.33094010353088377,,,3.266666666666667e-06
55,0.006875,-5.960464477539063e-09,0.25,0.33094010353088377,,,3.6000000000000003e-06
60,0.0075,-2.9802322387695314e-09,0.45,0.3,,,3.9333333333333335e-06
65,0.008125,5.960464477539063e-09,0.7,0.3154700517654419,,,4.266666666666668e-06
70,0.00875,-2.9802322387695314e-09,0.2,0.2,,,4.600000000000001e-06
75,0.009375,-2.9802322387695314e-09,0.3,0.3154700517654419,,,4.933333333333334e-06
80,0.01,2.9802322387695314e-09,0.3,0.2,,,5.2666666666666665e-06
85,0.010625,2.9802322387695314e-09,0.55,0.5309401035308838,,,5.600000000000001e-06
90,0.01125,-4.470348358154297e-09,0.2,0.3154700517654419,,,5.933333333333335e-06
95,0.011875,2.9802322387695314e-09,0.4,0.3154700517654419,,,6.266666666666668e-06
100,0.0125,-1.4901161193847657e-09,0.25,0.1,,,6.600000000000001e-06
105,0.013125,0.0,0.2,0.3154700517654419,,,6.9333333333333344e-06
110,0.01375,-2.9802322387695314e-09,0.35,0.2154700517654419,,,7.266666666666668e-06
115,0.014375,-2.9802322387695314e-09,0.65,0.3,,,7.600000000000001e-06
120,0.015,2.9802322387695314e-09,0.2,0.2,,,7.933333333333334e-06
125,0.015625,-5.960464477539063e-09,0.2,0.3154700517654419,,,8.266666666666667e-06
130,0.01625,-2.9802322387695314e-09,0.15,0.2154700517654419,,,8.6e-06
135,0.016875,0.0,0.3,0.3154700517654419,,,8.933333333333333e-06
